"time","acc_x","acc_y","acc_z","w_x","w_y","w_z","ang_x","ang_y","ang_z","label"
"0","0","0","0","0","0","0","0","0","0","4"
"0.257","1.028","0.161","-0.229","0.31","-0.55","-0.31","137.3","68.87","25.86","4"
"2.238","1.029","0.158","-0.228","0.06","0.0","-0.24","137.32","68.9","25.94","4"
"4.229","1.027","0.157","-0.233","-0.43","-0.61","-0.49","137.43","68.87","25.96","4"
"6.206","1.029","0.159","-0.23","-0.06","-0.37","-0.43","137.2","68.95","26.18","4"
"8.209","1.029","0.163","-0.23","-0.18","-0.49","-0.37","137.03","68.86","26.24","0"
"10.221","1.028","0.16","-0.232","0.06","-0.49","-0.37","137.2","68.82","26.07","0"
"12.186","1.04","0.16","-0.122","-1.46","-0.73","-0.37","124.29","72.84","40.2","0"
"14.204","1.04","0.16","-0.137","-1.28","0.0","-0.55","126.22","72.24","38.59","1"
"16.185","1.04","0.158","-0.129","0.49","-0.67","-0.31","125.56","72.45","39.83","0"
"18.169","1.04","0.161","-0.128","0.06","0.31","-0.43","125.51","72.44","39.99","0"
"20.164","1.039","0.163","-0.13","-0.06","-0.79","-0.37","125.55","72.37","39.95","0"
"22.158","1.039","0.162","-0.138","-0.37","-0.79","-0.37","126.59","72.15","38.92","0"
"24.191","1.041","0.157","-0.114","-0.24","-0.55","-0.43","123.94","72.92","41.91","0"
"26.136","1.045","0.162","-0.173","1.46","-7.81","-0.61","132.71","70.27","32.71","1"
"28.142","1.036","0.158","-0.168","-0.49","0.0","-0.55","130.96","71.5","33.52","0"
"30.155","1.042","0.158","-0.1","-0.67","-2.14","-0.49","120.36","73.7","45.59","0"
"32.12","1.039","0.157","-0.088","-0.12","0.31","-0.37","119.78","73.89","46.64","1"
"34.14","1.041","0.157","-0.097","-0.12","0.61","-0.31","121.09","73.66","45.17","1"
"36.104","1.042","0.153","-0.097","-0.43","-0.92","-0.43","121.6","73.63","44.71","1"
"38.128","1.042","0.155","-0.1","0.12","-0.18","-0.37","121.85","73.59","44.56","1"
"40.097","1.041","0.152","-0.098","-0.12","0.37","-0.49","122.13","73.78","44.64","1"
"42.1","1.041","0.151","-0.105","0.0","0.43","-0.31","123.39","73.55","43.46","1"
"44.117","1.033","0.15","-0.205","0.43","0.12","-0.37","135.42","70.08","28.78","1"
"46.092","1.036","0.154","-0.189","0.06","-0.43","-0.37","134.07","70.66","30.21","0"
"48.065","1.037","0.152","-0.115","1.89","1.46","-0.92","122.57","73.08","40.94","0"
"50.066","1.041","0.157","-0.096","-0.37","-0.31","-0.31","121.05","73.7","45.31","1"
"52.052","1.042","0.155","-0.097","0.06","-0.12","-0.43","121.22","73.68","45.27","1"
"54.068","1.041","0.158","-0.113","-0.18","0.61","-0.37","123.9","73.1","42.07","1"
"56.057","1.042","0.156","-0.111","-0.06","-1.65","-0.31","123.39","73.2","42.5","1"
"58.045","1.04","0.157","-0.114","-0.18","-1.65","-0.43","123.5","73.1","42.39","1"
"60.035","1.037","0.148","-0.157","-0.67","-2.14","0.67","133.11","71.13","32.67","1"
"62.018","1.037","0.233","-0.226","-63.78","-34.55","-11.41","129.44","67.2","25.17","0"
"64.032","1.141","0.227","-0.163","17.21","0.73","4.58","120.69","68.24","7.2","3"
"66.019","1.046","0.137","-0.296","30.09","4.7","-11.72","-162.52","67.49","60.08","3"
"68.035","0.928","0.219","-0.438","9.09","14.83","-0.92","150.29","71.39","61.77","3"
"69.995","0.916","0.249","-0.503","-67.81","-27.83","27.53","121.93","70.24","-50.84","3"
"71.986","0.814","-0.034","0.552","5.62","-1.22","11.84","11.35","49.62","128.37","3"
"73.988","0.787","-0.08","0.587","0.18","0.92","0.85","0.84","57.08","-172.55","3"
"78.001","0.789","-0.062","0.592","-0.24","-0.43","-0.24","0.04","57.78","-164.47","2"
"79.989","1.201","0.015","-0.494","0.43","0.0","-0.12","-0.88","57.91","-161.72","2"
"81.978","1.039","0.169","-0.362","14.47","-34.55","-1.28","172.05","61.45","26.1","3"
"83.975","1.017","0.149","-0.311","20.32","7.63","-19.17","171.85","63.46","45.94","3"
"85.972","1.036","0.141","-0.175","-0.31","-0.73","-0.43","151.49","65.02","24.9","0"
"87.963","1.039","0.142","-0.172","-1.04","1.71","-0.49","133.76","71.8","29.7","0"
"89.955","1.039","0.142","-0.165","0.18","0.12","-0.55","132.35","71.81","28.65","0"
"91.927","1.041","0.142","-0.148","0.06","-1.1","-0.43","130.96","72.1","29.53","0"
"93.93","1.038","0.141","-0.157","0.0","-0.18","-0.37","128.62","72.83","31.75","0"
"95.935","1.041","0.136","-0.153","-0.79","0.79","-0.37","129.95","72.54","30.39","0"
"97.908","1.042","0.149","-0.142","-0.24","-1.59","-0.43","129.76","72.73","30.84","0"
"99.896","1.041","0.151","-0.136","0.18","-2.14","-0.73","127.54","73.03","32.59","1"
"101.911","1.04","0.147","-0.146","-0.73","0.85","-0.73","126.51","72.8","33.66","1"
"103.899","1.045","0.143","-0.127","-0.06","-0.43","-0.31","127.9","72.63","32.77","0"
"105.923","1.037","0.147","-0.146","0.61","-0.73","-0.24","125.93","73.26","35.32","1"
"107.879","1.041","0.148","-0.137","0.06","1.22","-0.43","128.17","72.66","32.6","0"
"109.87","1.042","0.151","-0.139","-0.24","-0.85","-0.31","126.9","72.94","34.3","1"
"111.861","1.043","0.155","-0.118","0.12","-1.04","-0.43","126.99","72.71","33.88","0"
"113.88","1.04","0.156","-0.126","-0.24","-1.4","-0.06","123.44","73.26","38.5","1"
"115.883","1.041","0.153","-0.141","0.12","-1.28","-0.24","124.68","72.92","37.01","1"
"117.846","1.042","0.137","-0.116","0.18","-1.04","-0.31","126.74","72.47","34.33","0"
"119.863","1.042","0.138","-0.13","3.3","-1.22","0.37","123.59","73.59","38.19","1"
"121.863","1.042","0.143","-0.121","0.37","-1.04","-0.31","127.06","73.48","34.77","1"
"123.83","1.041","0.14","-0.119","0.85","-0.92","-0.12","125.12","73.54","36.29","1"
"125.847","1.04","0.132","-0.127","0.06","-0.24","-0.43","124.99","73.78","36.53","1"
"127.83","1.024","0.209","-0.276","0.55","0.55","-0.31","127.12","73.6","34.3","1"
"129.857","1.02","0.2","-0.269","-0.49","2.69","0.67","137.99","65.35","19.28","0"
"131.821","1.043","0.159","-0.107","0.92","1.22","-2.38","137.04","66.73","23.04","0"
"133.844","1.041","0.153","-0.104","3.91","-2.2","-0.37","124.05","73.6","40.75","1"
"135.799","1.041","0.154","-0.107","-0.31","-0.49","-0.18","122.51","73.63","41.54","1"
"137.812","1.042","0.152","-0.109","-0.31","-0.85","-0.49","122.31","73.49","40.96","1"
"139.778","1.042","0.154","-0.111","0.0","-0.37","-0.43","122.11","73.47","40.92","1"
"141.8","1.043","0.154","-0.114","0.0","-0.12","-0.37","122.17","73.37","40.74","1"
"143.763","1.042","0.154","-0.11","-0.12","-1.04","-0.37","122.45","73.28","40.2","1"
"145.752","1.042","0.158","-0.123","-0.24","-1.04","-0.37","122.29","73.34","40.61","1"
"147.772","1.033","0.179","-0.264","0.67","-1.46","-0.61","123.51","73.03","39.35","1"
"149.741","1.019","0.153","-0.148","0.92","-1.53","-1.22","136.65","67.44","22.37","0"
"151.776","1.042","0.172","-0.115","-3.72","12.82","0.49","126.54","71.46","33.24","3"
"153.754","1.04","0.174","-0.118","-0.79","-0.98","-0.43","120.82","72.56","41.18","1"
