"time","acc_x","acc_y","acc_z","w_x","w_y","w_z","ang_x","ang_y","ang_z","label"
"0","0","0","0","0","0","0","0","0","0","4"
"1.389","1.042","0.087","-0.144","0.31","-0.12","0.0","135.3","-76.09","25.52","4"
"3.392","1.04","0.089","-0.145","0.18","-0.31","-0.12","135.3","-76.04","25.63","4"
"5.381","1.042","0.081","-0.139","0.18","0.06","0.0","134.96","-76.31","26.0","4"
"7.34","1.042","0.086","-0.151","-0.06","-0.49","-0.06","137.1","-75.71","23.75","4"
"9.366","1.041","0.086","-0.152","0.06","0.18","0.06","136.58","-75.8","24.04","0"
"11.342","1.034","0.042","-0.032","0.98","10.13","1.53","109.2","-82.13","53.65","0"
"13.343","1.041","0.036","-0.003","0.0","-0.79","-0.06","108.73","-82.63","55.5","3"
"15.356","1.04","0.039","-0.009","0.0","0.0","0.0","111.23","-82.47","53.21","0"
"17.349","1.04","0.066","-0.118","-3.23","-8.06","-1.65","134.5","-78.04","28.49","0"
"19.327","1.042","0.074","-0.147","-0.18","-0.73","-0.24","137.09","-76.22","23.09","0"
"21.321","1.04","0.079","-0.16","0.73","0.31","0.18","138.42","-75.79","21.84","0"
"23.287","1.043","0.047","-0.018","0.06","-5.62","-0.79","107.03","-82.31","57.08","0"
"25.308","1.042","0.049","-0.051","1.04","-2.62","-0.61","119.23","-81.18","44.61","0"
"27.28","1.039","0.068","-0.132","-0.12","0.85","-0.12","136.88","-77.22","24.16","0"
"29.284","1.045","0.068","-0.139","-0.55","-0.98","-0.12","137.46","-76.86","23.33","0"
"31.266","1.045","0.035","-0.033","2.75","-5.13","-1.59","114.51","-82.23","50.78","0"
"33.272","1.042","0.064","-0.058","-0.12","0.24","0.0","122.29","-79.9","40.97","0"
"35.252","1.043","0.07","-0.062","-0.06","0.37","0.12","123.11","-79.62","40.38","0"
"37.243","1.042","0.066","-0.047","-0.06","0.31","0.0","118.86","-80.07","44.29","0"
"39.229","1.041","0.061","-0.053","0.61","1.83","0.73","123.37","-79.52","39.84","0"
"41.226","-0.252","1.183","-0.203","276.55","-6.04","229.98","96.76","12.27","17.37","0"
"43.231","0.651","0.247","-0.614","-21.55","-137.33","-18.25","177.09","-23.01","83.45","3"
"45.212","-0.945","0.091","-0.121","22.95","-6.41","11.41","74.47","80.55","-102.29","3"
"47.199","-0.947","0.069","-0.16","2.62","2.75","-0.85","125.85","77.03","-89.49","3"
"49.182","-0.939","0.046","-0.208","-0.12","0.0","-0.12","144.88","74.82","-80.43","2"
"51.219","-0.941","0.045","-0.203","1.28","-0.18","0.12","147.77","74.75","-80.35","2"
