"time","acc_x","acc_y","acc_z","w_x","w_y","w_z","ang_x","ang_y","ang_z","label"
"0","0","0","0","0","0","0","0","0","0","4"
"1.006","1.024","0.19","-0.203","-0.12","0.24","0.31","130.86","-69.6","32.93","4"
"3.02","1.034","0.192","-0.183","-2.2","-1.65","1.71","129.0","-70.26","35.45","4"
"5.0","1.029","0.194","-0.177","0.55","-0.79","0.31","127.76","-70.22","36.06","4"
"6.99","1.029","0.187","-0.195","1.46","-0.0","-0.18","130.35","-69.87","33.72","4"
"9.0","1.026","0.191","-0.212","0.79","-0.85","-0.31","131.65","-69.31","32.23","0"
"10.969","1.022","0.181","0.108","-0.49","-19.47","0.31","76.38","-74.66","89.62","0"
"12.981","0.883","0.166","0.466","1.28","-3.05","-0.31","30.4","-61.34","142.43","3"
"14.979","0.849","0.177","0.511","0.49","-0.24","-0.55","29.26","-58.4","146.64","2"
"16.984","0.75","0.176","0.638","-0.61","-6.65","-1.46","23.16","-50.42","153.62","2"
"18.956","0.991","0.173","-0.428","12.7","90.39","4.33","146.57","-59.52","19.96","2"
"20.957","1.076","0.167","-0.275","-32.53","7.63","-6.23","141.37","-70.38","6.75","3"
"22.926","1.021","0.162","-0.274","2.69","-0.73","0.67","137.86","-68.55","15.48","3"
"24.94","1.028","0.161","-0.253","6.41","0.43","-0.31","140.31","-69.73","25.16","0"
"26.913","1.025","0.16","-0.237","-0.24","-0.06","0.0","138.12","-69.6","23.38","0"
"28.922","1.037","0.14","-0.015","0.18","0.37","-0.12","102.15","-77.3","62.94","0"
"30.914","1.039","0.136","-0.021","0.0","-0.0","0.0","105.94","-77.06","59.78","0"
"32.881","1.038","0.138","-0.026","-0.73","1.16","0.0","106.98","-76.96","59.03","0"
"34.871","1.04","0.142","-0.041","-0.24","-1.04","0.0","110.62","-76.57","54.96","0"
"36.88","1.03","0.165","-0.206","-0.43","-0.55","0.18","133.64","-70.27","27.19","0"
"38.881","1.033","0.165","-0.196","-0.24","-0.0","0.0","131.92","-70.97","28.55","0"
"40.853","1.034","0.164","-0.19","0.06","-1.34","0.06","131.86","-71.07","28.59","0"
"42.885","1.036","0.142","0.003","0.37","-1.22","-0.06","97.89","-77.33","68.03","0"
"44.841","1.037","0.143","0.005","-0.24","0.73","-0.12","99.89","-77.07","66.61","0"
"46.825","1.039","0.149","-0.025","-1.71","1.34","-0.18","106.11","-76.48","59.69","0"
"48.838","1.04","0.146","-0.045","0.43","1.22","-0.06","110.21","-76.29","55.75","0"
"50.817","1.038","0.147","-0.158","-3.11","4.21","0.31","129.66","-70.78","30.86","0"
"52.802","1.014","0.165","0.039","-17.33","-0.0","-1.04","82.4","-75.03","75.57","0"
"54.8","1.032","0.153","0.003","-0.67","-8.67","2.5","98.12","-75.92","63.07","3"
"56.797","0.793","-0.02","0.589","-0.06","-0.49","0.85","7.09","-55.66","159.82","0"
"58.778","0.791","0.007","0.595","0.18","0.79","-0.12","8.84","-55.47","161.78","2"
"60.782","1.024","0.108","-0.228","-3.72","-23.99","-5.25","145.16","-70.44","17.37","2"
"62.776","1.041","0.122","-0.078","5.31","-19.23","1.77","121.55","-76.28","41.29","3"
"64.756","1.036","0.135","-0.204","0.06","4.09","0.73","139.43","-69.76","20.03","3"
"66.755","0.401","0.169","-1.305","-11.54","-127.38","8.67","165.53","0.04","-28.41","0"
"68.793","1.042","0.119","-0.235","","","","","","","0"
