"time","acc_x","acc_y","acc_z","w_x","w_y","w_z","ang_x","ang_y","ang_z","label"
"0","0","0","0","0","0","0","0","0","0","4"
"0.634","1.032","0.196","-0.162","-0.18","-0.06","0.0","125.86","-70.83","39.45","4"
"2.648","1.032","0.194","-0.17","0.37","-0.12","0.0","127.12","-70.58","38.18","4"
"4.641","1.032","0.195","-0.178","0.0","-0.31","0.12","127.71","-70.35","37.5","4"
"6.641","1.034","0.192","-0.163","-0.12","0.18","-0.06","126.21","-70.8","39.02","4"
"8.612","1.033","0.194","-0.167","0.06","0.31","0.0","126.66","-70.68","38.7","2"
"10.621","1.033","0.197","-0.155","1.28","0.0","-0.31","124.78","-71.0","40.78","2"
"12.625","1.033","0.196","-0.17","-0.55","0.06","-0.06","126.75","-70.49","38.81","2"
"14.62","1.03","0.197","-0.173","0.43","-0.31","0.0","127.27","-70.31","38.19","2"
"16.599","1.032","0.199","-0.146","4.58","0.06","-0.12","124.04","-71.02","40.87","2"
"18.618","1.022","0.219","-0.132","-1.46","-0.06","-1.71","121.07","-70.97","43.9","2"
"20.581","1.034","0.22","-0.127","3.3","2.01","-0.18","119.9","-71.0","46.16","2"
"22.586","1.038","0.227","-0.11","-0.12","0.98","-0.79","117.27","-70.93","48.67","2"
"24.563","1.029","0.205","-0.168","2.14","1.71","-0.37","123.78","-70.39","42.42","2"
"26.539","1.032","0.211","-0.148","-0.61","0.0","0.0","122.48","-70.63","43.03","2"
"28.538","1.018","0.181","0.036","-1.22","4.94","2.08","87.74","-74.57","80.04","2"
"30.551","1.029","0.171","0.095","0.73","2.08","0.49","81.75","-76.17","89.62","2"
"32.544","1.032","0.164","0.005","0.31","2.32","0.06","99.53","-76.52","72.85","2"
"34.519","1.034","0.162","0.031","0.73","-0.98","0.12","95.52","-76.46","76.12","2"
"36.519","1.068","0.212","-0.12","-57.19","-34.36","-12.94","121.74","-67.62","38.87","2"
"38.505","0.97","0.021","-0.109","6.29","4.15","13.67","149.99","-65.77","22.2","3"
"40.532","0.943","0.182","-0.342","-14.47","-0.55","2.38","127.52","-70.94","34.24","3"
"42.502","0.985","0.145","-0.317","35.64","6.41","6.47","131.46","-67.36","23.24","3"
"44.48","1.032","0.184","0.003","1.16","2.01","0.0","94.06","-74.89","72.1","3"
"46.482","1.037","0.18","-0.04","-2.14","1.89","0.37","108.51","-73.89","57.82","2"
"48.455","0.862","0.145","-0.698","-8.24","35.58","13.61","159.53","-50.33","-9.0","2"
"52.461","0.647","0.145","0.731","5.86","-2.75","5.07","18.28","-39.38","145.4","2"
"54.439","0.649","0.142","0.733","-0.24","0.24","0.0","17.89","-42.29","154.72","2"
"56.451","0.635","0.138","0.744","-0.06","-0.06","-0.06","17.85","-42.69","156.28","2"
"58.444","0.51","0.152","0.835","0.06","0.67","-0.06","17.39","-42.03","157.14","2"
"60.409","0.689","0.1","0.707","-1.1","2.44","-0.92","17.55","-33.84","158.6","2"
"62.404","0.604","0.35","0.743","2.62","-4.94","-6.84","14.43","-45.97","155.75","2"
"64.405","0.526","0.279","0.802","1.46","8.91","-1.28","34.07","-37.28","144.32","2"
"66.423","0.503","0.254","0.822","-6.16","-5.62","5.19","28.16","-34.07","150.97","2"
"68.381","0.546","0.253","0.781","-3.66","3.17","2.08","25.78","-34.71","162.16","2"
"70.401","0.65","0.303","0.695","-5.68","-1.65","-0.24","24.87","-34.67","155.77","2"
"72.364","0.611","0.286","0.731","-5.49","-2.44","-1.59","30.55","-39.98","143.11","2"
"74.383","0.62","0.289","0.73","-4.46","-1.1","-5.07","28.95","-37.52","141.54","2"
"76.353","0.597","0.311","0.736","-1.46","-5.92","-7.87","29.12","-37.38","140.31","2"
"78.343","0.575","0.322","0.728","-4.21","-4.7","-5.68","30.63","-36.46","139.55","2"
