"time","acc_x","acc_y","acc_z","w_x","w_y","w_z","ang_x","ang_y","ang_z","label"
"0","0","0","0","0","0","0","0","0","0","4"
"1.958","1.042","0.106","-0.153","-0.79","-0.12","-0.06","134.14","75.16","27.25","4"
"3.944","1.041","0.105","-0.152","0.06","-0.18","0.0","133.9","75.04","27.32","4"
"5.913","1.042","0.104","-0.154","-0.06","-0.24","-0.12","134.07","75.01","27.11","4"
"7.926","1.041","0.104","-0.16","0.43","-0.61","-0.06","135.32","74.75","25.68","4"
"9.931","1.044","0.102","-0.153","0.37","1.1","0.24","134.77","74.97","26.14","0"
"11.903","1.039","0.061","0.022","-0.12","-0.98","0.0","95.04","81.91","70.14","0"
"13.883","1.041","0.062","0.011","-0.55","-0.98","-0.06","101.82","81.53","63.41","2"
"15.899","1.042","0.062","-0.011","-1.16","-0.31","-0.24","110.13","81.09","55.26","1"
"17.875","1.043","0.058","-0.034","-1.59","-1.16","0.24","115.7","80.84","48.95","1"
"19.909","1.047","0.059","-0.048","-0.98","0.73","-0.12","119.48","80.45","44.64","1"
"21.857","1.033","-0.013","-0.081","0.24","-7.14","-4.27","146.67","80.17","22.53","1"
"23.856","1.036","0.12","-0.197","-0.24","0.24","-0.06","134.48","73.04","22.41","0"
"25.856","0.88","0.185","-0.557","130.49","5.68","-15.26","149.3","66.23","8.25","0"
"27.864","1.101","0.143","-0.38","-27.59","9.09","-4.76","153.15","74.19","27.37","3"
"29.829","1.095","0.155","0.174","-0.55","64.94","8.18","68.97","77.64","87.88","3"
"31.834","0.78","-0.009","0.61","-0.06","1.65","0.18","7.86","53.52","159.76","3"
"33.843","1.012","0.103","0.233","16.72","-67.2","-11.47","45.79","77.26","122.78","2"
"35.844","1.023","0.123","-0.242","10.8","3.17","-0.79","146.99","71.49","20.69","3"
"37.827","1.041","0.075","0.018","-3.05","-0.67","-0.18","102.78","81.24","66.23","3"
"39.811","1.042","0.076","-0.02","-0.37","-1.16","0.06","109.51","80.83","58.11","1"
"41.784","1.461","0.831","-5.22","108.76","-995.48","1.89","152.09","-56.31","-49.06","1"
"43.81","0.135","-0.038","-1.199","62.56","-164.73","-0.85","131.09","49.04","25.31","3"
"45.786","-0.908","-0.078","-0.329","6.96","8.48","33.26","143.69","-60.9","-65.07","3"
"47.763","-0.824","-0.454","0.005","24.9","-56.4","-46.81","-53.07","-53.17","-171.71","3"
"49.785","0.287","-0.108","1.127","-46.02","-26.55","-14.16","-30.58","22.31","-54.24","3"
"51.767","0.539","-0.586","0.496","4.21","-0.79","-7.45","-59.1","39.68","-80.32","3"
"53.75","0.499","-0.529","0.587","24.05","5.8","9.52","-51.54","37.58","-86.47","2"
"55.753","0.584","-0.567","0.483","","","","","","","2"
