"time","acc_x","acc_y","acc_z","w_x","w_y","w_z","ang_x","ang_y","ang_z","label"
"0","0","0","0","0","0","0","0","0","0","4"
"1.948","1.038","0.167","-0.189","0.55","-0.55","-0.18","131.74","-71.08","30.23","4"
"3.935","1.039","0.168","-0.19","0.06","-0.24","-0.06","131.92","-70.97","30.05","4"
"5.941","1.037","0.168","-0.195","-0.12","-0.85","-0.12","132.32","-70.8","29.6","4"
"7.903","1.036","0.17","-0.203","0.18","0.06","0.0","133.21","-70.43","28.49","4"
"9.921","1.037","0.169","-0.203","0.0","0.0","0.0","133.25","-70.42","28.56","0"
"11.929","1.038","0.171","-0.188","0.0","0.12","-0.06","131.51","-70.98","30.36","0"
"13.885","1.042","0.137","0.018","1.71","0.49","0.37","95.51","-77.42","69.74","0"
"15.905","1.043","0.144","0.024","1.34","-1.1","0.06","97.0","-77.38","70.69","0"
"17.881","1.041","0.143","0.015","0.37","-0.79","0.0","99.47","-77.2","68.15","0"
"19.917","1.025","0.125","0.088","-0.06","8.91","2.38","80.11","-77.87","88.81","0"
"21.884","1.017","0.119","0.184","-2.87","1.77","-0.92","58.27","-77.09","114.22","0"
"23.868","1.03","0.131","0.169","2.69","-2.69","-0.06","63.54","-76.85","107.31","2"
"25.889","1.041","0.152","0.023","-0.24","-1.4","-0.43","94.31","-76.79","74.31","2"
"27.858","1.039","0.15","0.04","-1.59","3.54","0.06","92.83","-76.96","76.04","0"
"29.868","1.037","0.146","0.041","0.55","0.24","0.24","93.41","-77.15","75.39","0"
"31.842","1.038","0.169","-0.146","1.65","-7.63","-1.77","126.37","-72.09","39.88","0"
"33.863","1.035","0.173","-0.226","0.12","-0.37","0.0","136.7","-68.96","28.02","0"
"35.872","1.041","0.169","-0.129","-1.95","0.73","0.0","121.4","-72.56","40.39","0"
"37.826","1.042","0.172","-0.138","-0.24","0.12","0.06","125.08","-72.37","38.94","0"
"39.83","1.032","0.21","-0.134","-6.9","0.06","-1.53","120.29","-71.25","42.12","0"
"41.814","1.038","0.201","-0.108","7.14","-4.64","0.67","119.75","-72.55","45.75","0"
"43.835","0.983","0.187","0.269","1.04","-0.73","0.31","51.22","-71.15","121.91","0"
"45.84","0.992","0.18","0.237","-0.67","-3.54","0.43","56.04","-72.19","117.26","2"
"47.812","1.014","0.179","0.155","0.12","0.06","-0.06","69.85","-74.6","102.03","2"
"49.817","1.069","0.217","0.051","9.4","1.53","-5.13","93.07","-74.48","81.04","2"
"51.814","0.96","0.305","0.098","6.23","1.77","1.28","85.91","-70.18","89.26","3"
"53.787","1.029","0.167","0.036","-3.97","2.32","6.9","91.42","-75.61","73.09","2"
"55.793","1.042","0.233","0.078","0.37","-1.16","-4.7","91.8","-75.33","77.84","0"
"57.797","1.04","0.151","-0.029","4.21","-1.46","0.0","109.19","-75.65","56.95","0"
"59.778","1.048","0.183","-0.051","1.65","-0.43","0.85","112.96","-75.19","53.0","0"
"61.775","1.042","0.167","-0.065","-1.04","1.65","0.0","113.85","-74.27","51.33","0"
"63.763","1.043","0.165","-0.045","2.93","1.04","0.98","111.5","-75.32","54.39","0"
"65.778","1.043","0.16","-0.028","-0.31","1.89","0.0","104.97","-76.16","61.03","0"
"67.771","1.043","0.159","-0.03","-0.49","-0.55","-0.12","107.81","-75.83","58.57","0"
"69.785","1.05","0.16","-0.086","-2.69","-6.59","-1.28","119.84","-73.75","45.41","0"
"71.759","1.043","0.167","-0.102","0.92","-0.55","-0.06","120.54","-73.76","44.01","0"
"73.757","1.054","0.073","-0.212","41.32","9.16","4.94","126.16","-70.9","41.64","0"
"75.769","1.037","0.119","-0.12","-21.36","-0.06","-2.5","127.63","-75.54","45.01","3"
"77.738","1.042","0.157","-0.132","-6.29","-0.24","-1.77","125.38","-72.36","41.82","3"
"79.756","1.04","0.176","-0.199","-0.98","-3.66","-0.06","130.98","-70.04","34.95","0"
"81.715","1.041","0.195","-0.519","-0.79","36.32","-7.51","155.26","-54.23","5.87","0"
"83.72","0.345","-0.728","0.967","-80.32","8.67","21.67","-43.13","-22.47","162.42","3"
"85.74","0.79","0.053","-0.533","0.98","183.96","-17.82","162.1","-55.92","29.3","3"
"87.699","-0.516","0.217","-0.748","14.4","-33.51","-6.65","151.88","49.0","-41.76","3"
"89.714","0.056","0.09","0.942","","","","","","","3"
