"time","acc_x","acc_y","acc_z","w_x","w_y","w_z","ang_x","ang_y","ang_z","label"
"0","0","0","0","0","0","0","0","0","0","4"
"1.618","1.031","0.202","-0.051","0.06","0.43","0.12","107.14","-73.0","57.08","4"
"3.599","1.033","0.204","-0.045","0.0","-0.0","0.43","106.78","-73.09","57.41","4"
"5.574","1.033","0.206","-0.052","0.85","0.73","-0.12","107.69","-72.88","56.42","4"
"7.581","1.033","0.215","-0.062","0.0","0.43","0.0","108.84","-72.39","55.05","4"
"9.556","1.033","0.214","-0.06","0.55","0.24","0.0","108.8","-72.45","55.11","0"
"11.556","1.023","0.167","0.077","3.85","-13.43","3.54","82.96","-75.84","85.26","0"
"13.556","1.024","0.163","0.098","0.12","-0.06","-0.06","78.6","-75.96","89.53","3"
"15.535","1.022","0.166","0.104","1.16","-1.22","0.18","77.48","-75.7","90.7","0"
"17.534","1.026","0.164","0.086","0.12","-0.37","0.0","81.33","-75.81","86.26","0"
"19.532","1.024","0.167","0.093","-0.12","0.73","0.0","79.98","-75.69","88.06","0"
"21.511","1.023","0.171","0.096","-0.49","0.24","-0.12","80.53","-75.5","87.13","0"
"23.514","0.997","0.142","0.217","3.17","-2.08","0.92","52.76","-74.15","117.69","0"
"25.519","0.993","0.145","0.228","0.06","0.06","0.0","52.16","-73.65","118.02","2"
"27.493","0.995","0.145","0.229","-0.12","-0.67","-0.18","52.75","-73.54","117.66","2"
"29.514","0.999","0.149","0.211","0.61","-0.49","0.0","55.4","-74.03","114.37","2"
"31.479","0.995","0.156","0.216","-0.49","0.67","0.0","55.58","-73.77","114.53","2"
"33.498","1.011","0.177","0.12","-3.05","11.41","-3.97","70.27","-74.77","98.16","2"
"35.482","1.026","0.228","-0.097","0.12","-0.79","0.31","112.37","-71.04","49.93","3"
"37.453","1.032","0.217","-0.065","-0.67","0.49","0.0","108.97","-72.03","54.0","0"
"39.487","0.917","0.36","-0.464","0.67","30.4","-7.75","139.12","-52.37","17.0","0"
"41.47","0.759","0.379","-0.716","-0.24","-3.85","1.46","145.18","-39.56","-8.75","3"
"43.431","0.776","0.38","-0.699","-0.31","-0.61","0.31","144.51","-41.61","-12.62","1"
"45.44","0.786","0.382","-0.676","0.98","-1.59","0.55","143.93","-43.2","-12.89","1"
"47.444","0.791","0.379","-0.677","-0.12","-0.43","0.06","143.78","-43.18","-12.57","1"
"49.432","0.794","0.375","-0.673","-0.18","0.06","0.06","143.79","-43.4","-12.24","1"
"51.447","0.794","0.378","-0.676","-0.12","0.43","0.12","143.78","-43.24","-12.49","1"
"53.425","0.793","0.375","-0.679","0.0","0.73","-0.18","143.92","-43.24","-12.66","1"
"55.413","0.794","0.376","-0.674","0.0","-0.0","-0.06","143.92","-43.37","-12.8","1"
"57.403","1.013","0.239","-0.158","2.08","-12.02","3.36","113.26","-70.13","32.96","1"
"59.385","1.027","0.245","-0.138","0.67","-0.43","-0.18","116.82","-69.64","42.42","3"
"61.379","1.026","0.247","-0.139","-0.73","-0.55","0.0","117.15","-69.27","43.37","0"
"63.38","1.025","0.247","-0.133","-0.24","-0.06","0.12","116.46","-69.24","44.53","0"
"65.384","0.852","0.357","-0.604","-0.31","13.12","-2.14","142.71","-45.42","6.75","0"
